"name","rank","count","prop100k","cum_prop100k","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"MING",8718,3764,1.28,66841.56,"49.63","19.58","21.63","0.8","4.54","3.83"
"SHAO",8765,3741,1.27,66902.62,"2.78","0.4","95.35","(S)","1.07","(S)"
"XIA",8867,3693,1.25,67031.11,"1.27","(S)","97.37","(S)","0.65","0.57"
"RUAN",8907,3676,1.25,67081.07,"2.09","1.44","80.33","(S)","(S)","15.42"
"ZHEN",8941,3661,1.24,67123.35,"0.57","(S)","98.63","(S)","0.46","0.27"
"CHAI",9030,3619,1.23,67234.42,"4.86","1.05","83.28","0","6.94","3.87"
"TIAN",9195,3547,1.2,67434.85,"2.26","(S)","96.02","(S)","0.59","0.7"
"CUI",9251,3520,1.19,67500.7,"2.07","0.4","94.77","0","1.42","1.34"
"TENG",9473,3433,1.16,67761.11,"2.3","(S)","92.98","(S)","2.39","1.86"
"LAN",9910,3262,1.11,68257.08,"14.56","(S)","77.25","(S)","2.36","3.59"
"XUE",9932,3248,1.1,68281.35,"1.51","(S)","97.88","(S)","0.43","(S)"
"PING",10036,3209,1.09,68399.6,"61.89","1.18","19.48","0.22","1.9","15.33"
"QIAN",10167,3173,1.08,68541.27,"0.88","0.25","98.05","(S)","0.72","(S)"
"BAI",10237,3148,1.07,68617.28,"5.3","1.59","91.26","(S)","1.11","(S)"
"YONG",10316,3123,1.06,68699.12,"6.44","(S)","77.46","(S)","3.97","8.97"
"KAN",10647,3005,1.02,69039.92,"10.85","(S)","82.6","(S)","3.56","2.1"
"LIAN",10678,2995,1.02,69071.45,"15.09","(S)","80.37","(S)","1.74","2.3"
"LOU",10815,2945,1,69210.41,"11.95","(S)","79.66","(S)","2.92","3.5"
"GAN",11003,2891,0.98,69395.43,"20.96","(S)","73.19","(S)","2.14","2.8"
"QIN",11759,2664,0.9,70106.91,"0.98","(S)","97.94","(S)","0.68","0.26"
"BAO",11843,2643,0.9,70181.58,"3.03","0.95","91.03","0.19","1.02","3.78"
"DAN",12012,2599,0.88,70331.84,"48.4","4.77","26.74","11.89","4.12","4.08"
"QU",12035,2593,0.88,70352.96,"1.66","0.27","95.49","0","1.12","1.47"
"JU",12423,2502,0.85,70686.99,"3.64","0.48","92.37","0","1.8","1.72"
"HAO",12622,2452,0.83,70854.84,"2.49","(S)","89.68","(S)","5.83","1.75"
"BA",12627,2451,0.83,70858.99,"14.12","65.44","12.73","(S)","(S)","4.81"
"SHU",12644,2447,0.83,70875.6,"4.33","1.39","90.64","(S)","2.9","(S)"
"JIA",12802,2409,0.82,71003.1,"1.66","(S)","96.85","(S)","0.5","0.5"
"CHE",12865,2393,0.81,71055.99,"2.3","8.36","78.56","0.21","2.26","8.32"
"QI",13042,2354,0.8,71199.89,"1.36","(S)","97.62","(S)","0.76","0.21"
"YUE",13494,2251,0.76,71550.22,"2.89","(S)","93.65","(S)","3.07","0.22"
"SANG",14038,2146,0.73,71953.98,"13.28","8.67","64.63","0.28","3.96","9.18"
"ZANG",14252,2103,0.71,72110.96,"66","1","29.43","0.52","1.43","1.62"
"SHAN",14268,2099,0.71,72122.35,"22.77","8.77","64.79","0.33","1.72","1.62"
"BAN",14768,2011,0.68,72468.48,"48.28","4.03","42.02","(S)","(S)","3.93"
"OUYANG",15005,1968,0.67,72632.98,"0.76","(S)","97.71","0","1.22","(S)"
"YING",15043,1964,0.67,72652.98,"3.05","1.63","89.92","0","3.56","1.83"
"GE",15309,1917,0.65,72830.63,"5.95","1.41","91.44","0","0.42","0.78"
"KE",15494,1890,0.64,72949.97,"8.94","(S)","84.76","(S)","3.23","1.59"
"MU",16064,1803,0.61,73304.94,"5.88","1.72","88.74","(S)","(S)","2.16"
"SHENG",16273,1772,0.6,73436.44,"2.71","0.4","93.79","0","2.26","0.85"
"NIE",16624,1725,0.58,73639.69,"20.75","0.52","76.64","0","1.22","0.87"
"DUAN",16728,1710,0.58,73700.83,"6.2","0.99","90.23","(S)","(S)","1.58"
"MIAO",16953,1677,0.57,73829.46,"2.27","(S)","95.23","(S)","1.73","0.54"
"LENG",17502,1610,0.55,74137.05,"17.58","0.81","76.4","0","2.42","2.8"
"ZHUANG",18317,1513,0.51,74567.35,"0.93","(S)","98.02","0","0.93","(S)"
"RONG",18910,1444,0.49,74866.25,"3.25","0.55","94.94","0","0.76","0.48"
"BI",18971,1438,0.49,74896.05,"5.15","1.46","90.75","(S)","1.32","(S)"
"XIANG",19041,1430,0.48,74932.49,"1.26","0.56","97.34","(S)","0.63","(S)"
"NIU",19646,1372,0.47,75216.72,"3.5","(S)","91.25","(S)","3.86","0.95"
"BO",19911,1348,0.46,75340.77,"33.83","4.45","55.64","(S)","(S)","4.23"
"PU",20449,1299,0.44,75579.18,"4.39","(S)","75.98","(S)","3.39","14.93"
"MEN",21092,1245,0.42,75858.59,"7.71","(S)","80","(S)","2.01","9.4"
"XING",21173,1240,0.42,75889.76,"2.02","0.48","96.61","(S)","0.65","(S)"
"CEN",21184,1239,0.42,75897.74,"1.29","0.56","89.75","0","0.97","7.43"
"PEI",21940,1183,0.4,76208.74,"3.21","(S)","92.65","0","3.72","(S)"
"SI",22158,1166,0.4,76293.19,"8.92","3","84.91","(S)","(S)","2.14"
"GENG",22450,1146,0.39,76412.65,"25.04","1.4","70.24","0","0.44","2.88"
"ZHAN",23120,1104,0.37,76662.73,"1.9","0.54","96.38","0","0.72","0.45"
"SHANG",23532,1079,0.37,76821.81,"5.1","1.95","91.2","(S)","1.39","(S)"
"SHA",23866,1058,0.36,76935.18,"17.39","2.36","75.71","(S)","(S)","2.65"
"JING",24288,1033,0.35,77087.64,"2.52","1.65","94.68","(S)","0.87","(S)"
"PI",24762,1006,0.34,77253.19,"11.93","2.09","64.61","0","2.09","19.28"
"NING",25037,992,0.34,77347.64,"3.53","1.92","91.13","(S)","2.32","(S)"
"BU",25102,989,0.34,77364.1,"15.47","2.93","62.79","(S)","(S)","17.8"
"XI",25620,963,0.33,77538.78,"1.77","(S)","96.57","(S)","0.73","0.73"
"ZHUO",25849,952,0.32,77610.21,"0","(S)","98.32","0","1.05","(S)"
"XIN",25924,948,0.32,77633.73,"1.37","(S)","96.73","(S)","1.27","0.53"
"HUO",26516,920,0.31,77826.35,"2.28","(S)","95.98","0","1.3","(S)"
"FEI",27021,897,0.3,77977.29,"12.04","(S)","84.28","(S)","1.9","1.34"
"SUI",27411,880,0.3,78096.92,"2.5","0.68","92.39","0","2.27","2.16"
"KOU",27534,875,0.3,78132.03,"3.89","2.17","88.46","0","1.37","4.11"
"CONG",27869,861,0.29,78229.47,"6.39","1.39","84.32","0","3.48","4.41"
"ZUO",27974,857,0.29,78267.62,"1.17","6.77","90.67","(S)","1.28","(S)"
"QIAO",28380,841,0.29,78379.29,"1.19","0","98.34","0","(S)","(S)"
"HAI",29093,815,0.28,78579.01,"17.67","2.82","75.09","0","3.68","0.74"
"ZHAI",29334,806,0.27,78646.61,"1.49","(S)","96.77","0","1.24","(S)"
"JIAO",29719,792,0.27,78751.98,"2.15","(S)","96.34","0","0.88","(S)"
"JIAN",29822,788,0.27,78782.76,"5.84","0.63","91.5","0","1.4","0.63"
"NAN",30277,773,0.26,78897.88,"26.78","(S)","67.14","(S)","2.72","1.42"
"MI",30442,767,0.26,78941.49,"16.04","4.82","73.4","(S)","(S)","3.65"
"NONG",30735,758,0.26,79021.35,"2.64","(S)","93.27","(S)","2.77","0.79"
"RAN",31724,728,0.25,79268.53,"27.34","6.73","60.58","(S)","(S)","3.57"
"BIAN",32438,709,0.24,79447.78,"8.74","(S)","87.02","(S)","0.71","2.96"
"LUAN",32632,704,0.24,79489.45,"5.11","(S)","85.09","(S)","1.56","7.39"
"QUE",33499,681,0.23,79692.97,"8.37","(S)","72.54","(S)","1.47","16.59"
"MOU",33810,673,0.23,79763.87,"9.36","3.27","83.36","0","2.53","1.49"
"BIN",36099,621,0.21,80271.19,"15.46","2.09","70.37","0","1.13","10.95"
"AI",36379,615,0.21,80328.35,"4.39","(S)","82.44","(S)","8.13","3.25"
"PIAO",37792,588,0.2,80613.61,"(S)","(S)","96.6","(S)","1.53","(S)"
"XIAN",38050,583,0.2,80668.58,"0.86","(S)","97.6","0","(S)","(S)"
"DI",38754,570,0.19,80805.71,"20.7","4.91","68.42","(S)","(S)","5.44"
"AO",41501,524,0.18,81307.26,"2.67","(S)","94.08","(S)","0.95","2.1"
"GAI",42163,515,0.17,81424.67,"41.36","25.83","26.8","(S)","(S)","4.85"
"SHE",42790,506,0.17,81534.3,"14.23","3.75","79.84","(S)","1.58","(S)"
"DOU",43206,500,0.17,81616.31,"7","(S)","83.8","(S)","1.8","5.4"
"MIU",43732,493,0.17,81699.57,"27.38","(S)","68.15","(S)","2.84","1.42"
"GUI",44808,479,0.16,81871.12,"16.28","7.72","70.35","(S)","(S)","4.18"
"ZONG",46487,458,0.16,82137.16,"17.25","1.75","79.48","(S)","1.31","(S)"
"XUAN",47614,445,0.15,82319.45,"(S)","0","97.53","0","(S)","(S)"
"RU",48901,431,0.15,82510.25,"19.95","3.94","66.13","(S)","(S)","9.05"
"DIAO",52383,396,0.13,83000.15,"3.54","16.92","76.01","(S)","2.78","(S)"
"ZAN",52851,392,0.13,83050.52,"43.88","(S)","46.94","(S)","2.55","5.36"
"LYU",57372,355,0.12,83628.96,"1.69","(S)","94.93","0","2.25","(S)"
"RUI",70403,278,0.09,85015.25,"11.87","(S)","72.3","(S)","2.52","12.59"
"ZU",70833,276,0.09,85050.52,"5.07","(S)","91.3","0","(S)","1.81"
"GOU",70833,276,0.09,85065.77,"6.88","2.54","78.99","(S)","(S)","10.14"
"ZHI",74608,259,0.09,85411.96,"1.93","0","96.91","0","(S)","(S)"
"SUO",84463,222,0.08,86200.9,"29.73","(S)","63.06","(S)","2.7","4.05"
"ZHA",88020,211,0.07,86478.73,"3.79","(S)","94.79","0","0","(S)"
"QING",89069,208,0.07,86543.27,"(S)","(S)","96.63","0","(S)","0"
"JIE",93513,196,0.07,86855.57,"(S)","2.55","91.84","0","2.55","(S)"
"QIANG",95115,192,0.07,86955.27,"(S)","0","97.4","0","(S)","0"
"XIU",105600,169,0.06,87608.49,"0","(S)","88.76","0","(S)","10.65"
"SHUAI",141140,118,0.04,89296.74,"(S)","0","98.31","0","0","(S)"
