Etunimi,Lukumäärä
Essi-Lotta,13
Eva-Marja,13
Eva-Riitta,13
Evian,13
Fathi,13
Faye,13
Febe,13
Fjolla,13
Frances,13
Franziska,13
Fredrica,13
Galyna,13
Gentiana,13
Giia,13
Giovanna,13
Gun-Mari,13
Haawo,13
Hadia,13
Hanna-Emilia,13
Hanna-Kaija,13
Hanna-Lena,13
Hanna-Pauliina,13
Hedi,13
Heidi-Maaria,13
Heli-Riitta,13
Heliä,13
Heloisa,13
Hennariina,13
Henna-Sofia,13
Homa,13
Iina-Lotta,13
Iita-Maria,13
Illusia,13
Inka-Sofia,13
Ippa,13
Irma-Leena,13
Jadele,13
Janka,13
Jarita,13
Jenni-Elina,13
Jennyfer,13
Jesse,13
Jila,13
Jitta,13
Josie,13
Kaisa-Elina,13
Kaisa-Maaria,13
Kaisa-Riitta,13
Kaitlyn,13
Karma,13
Kassandra,13
Kati-Susanna,13
Katja-Liisa,13
Katri-Johanna,13
Kausar,13
Khawla,13
Kimete,13
Kirsi-Marjo,13
Kitti,13
Kowsar,13
Kukkamaaria,13
Ladan,13
Lan,13
Lani,13
Leena-Liisa,13
Leini,13
Leone,13
Leya,13
Linda-Sofia,13
Linéa,13
Lu,13
Maaru,13
Madelein,13
Maija-Elina,13
Maisie,13
Maisu,13
Maliha,13
Mana,13
Maram,13
Marella,13
Mária,13
Mariliina,13
Mary-Anne,13
Maysa,13
Mayya,13
Meeli,13
Meemi,13
Meria,13
Merilla,13
Meri-Maaria,13
Mia-Sofia,13
Michal,13
Milla-Maarit,13
Milva,13
Minetta,13
Mirca,13
Mirja-Maija,13
Nadeschda,13
Nadin,13
Nadira,13
Nadra,13
Najla,13
Naz,13
Nella-Sofia,13
Nelliina,13
Nicolette,13
Nisha,13
Nola,13
Noora-Sofia,13
Ooda,13
Oona-Emilia,13
Ophelia,13
Orla,13
Ottiilia,13
Pirke,13
Pirpa,13
Päivi-Elina,13
Päivi-Maarit,13
Rabab,13
Rahima,13
Reeta-Mari,13
Riikka-Johanna,13
Riina-Liisa,13
Riinu,13
Ronja-Maria,13
Roosa-Maija,13
Sabiriin,13
Sadie,13
Salla-Riikka,13
Sanna-Riina,13
Sanna-Tuulia,13
Sanni-Maija,13
Sannimari,13
Sára,13
Sara-Julia,13
Sara-Lotta,13
Sari-Liisa,13
Sarra,13
Satu-Elina,13
Satu-Maaret,13
Semra,13
Setayesh,13
Shahnaz,13
Shaima,13
Shamsa,13
Sheima,13
Shima,13
Shiva,13
Sierra,13
Silja-Sofia,13
Sinella,13
Sinem,13
Sirin,13
Sisi,13
Sofía,13
Somayeh,13
Stina-Maria,13
Suraya,13
Susi,13
Suvi-Johanna,13
Svanhild,13
Tanja-Maarit,13
Taru-Tuuli,13
Teressa,13
Tereza,13
Terhi-Marja,13
Thien,13
Tia-Mari,13
Tiina-Elina,13
Tiinamaija,13
Tina-Maria,13
Titta-Mari,13
Toivi,13
Toni,13
Truc,13
Trude,13
Tuuli-Mari,13
Tyyra,13
Valpu,13
Van,13
Varpu-Liisa,13
Vera-Maria,13
Via,13
Viivi-Lotta,13
Vilde,13
Vinja,13
Vu,13
Walma,13
Zeineb,13
Zilan,13
Zita,13
Aarav,12
Aato,12
Abdisamad,12
Abdiwali,12
Abdoulie,12
Adham,12
Adrián,12
Afshin,12
Agon,12
Ajmal,12
Aki-Petri,12
Aleksandros,12
Alf-Erik,12
Alfredo,12
Alwar,12
Antti-Einari,12
Antti-Tapio,12
Ardit,12
Arjan,12
Aurel,12
Auro,12
Avi,12
Awil,12
Axeli,12
Bahram,12
Binh,12
Bobby,12
Bradley,12
Cajus,12
Casey,12
Cesar,12
Dániel,12
Dara,12
Dastan,12
Dawud,12
Diako,12
Dimitar,12
Drilon,12
Ebenezer,12
Eelo,12
Eetu-Matti,12
Eetu-Ville,12
Ege,12
Ehab,12
Eino-Juhani,12
Ele,12
Elvar,12
Engin,12
Erkki-Jussi,12
Eron,12
Esa-Jussi,12
Esteban,12
Even,12
Fatos,12
Fride,12
Gani,12
Gerard,12
Gheorghe,12
Gregor,12
Grels,12
Grigorii,12
Haci,12
Halit,12
Hamdi,12
Han,12
Hans-Göran,12
Hany,12
Hedi,12
Heiki,12
Heikki-Tapio,12
Henri-Mikael,12
Hunter,12
Ihab,12
Illi,12
Jace,12
Jahn,12
Janko,12
Jann,12
Janne-Markus,12
Jannik,12
Jannis,12
Jari-Jussi,12
Jari-Tapio,12
Jauri,12
Jelmeri,12
Jimy,12
Joannis,12
Joni-Juhani,12
Jonttu,12
Joona-Pekka,12
Joonia,12
Josias,12
Josse,12
Juha-Markku,12
Jupiter,12
Jussi-Heikki,12
Jussi-Mikko,12
Kaijus,12
Kajus,12
Kalle-Valtteri,12
Kalle-Veikko,12
Karipekka,12
Karl-Anton,12
Kebba,12
Kelpo,12
Kien,12
Kiran,12
Kiri,12
Klas-Göran,12
Knuut,12
Krish,12
Krisse,12
Lance,12
Lars-Ole,12
Lassi-Matti,12
Lemmi,12
Marcello,12
Mariwan,12
Marko-Mikael,12
Marko-Pekka,12
Mascuud,12
Mats-Erik,12
Matthieu,12
Matti-Esko,12
Matts-Erik,12
Mazen,12
Merlin,12
Mihku,12
Miihkali,12
Miljo,12
Mitjo,12
Muhamet,12
Nadim,12
Nam,12
Nic,12
Nihat,12
Nio,12
Olli-Oskari,12
Onni-Elmeri,12
Otis,12
Patu,12
Pavlo,12
Phi,12
Phoenix,12
Pohto,12
Raafael,12
Raimond,12
Raivo,12
Ramesh,12
Ramiar,12
Rando,12
Ransu,12
Ravi,12
Rei,12
Renato,12
Roel,12
Roshan,12
Safin,12
Sahand,12
Sahin,12
Sai,12
Sajad,12
Samiir,12
Samo,12
Sigfrid,12
Slava,12
Sohaib,12
Sony,12
Steffen,12
Sylvain,12
Tareq,12
Tero-Petteri,12
Thorbjörn,12
Thorolf,12
Timo-Tapani,12
Tio,12
Toni-Kristian,12
Toni-Tapio,12
Tonny,12
Uchenna,12
Udo,12
Vassili,12
Veiko,12
Veli-Kalle,12
Veli-Tapani,12
Veli-Tapio,12
Venneri,12
Vesa-Tapio,12
Ville-Sakari,12
Vilperi,12
Vince,12
Visa-Pekka,12
Volmar,12
Walde,12
Waldo,12
Walton,12
Wilfred,12
Yacquub,12
Yoav,12
Yoel,12
Younis,12
Yussuf,12
Zakarie,12
Adama,12
Adora,12
Aksana,12
Alara,12
Allis,12
Almas,12
Amadea,12
Andreea,12
Aninka,12
Annabell,12
Anna-Ilona,12
Annalena,12
Anna-Maj,12
Anne-Marjatta,12
Annevi,12
Anni-Julia,12
Annilotta,12
Anni-Marja,12
Ann-Sofia,12
Ann-Sophie,12
Antje,12
Anu-Maaria,12
Anu-Pauliina,12
Anzela,12
Asrin,12
Atlas,12
Azadeh,12
Bambi,12
Beatta,12
Belma,12
Bita,12
Bouchra,12
Cathy,12
Chanelle,12
Dahabo,12
Daniel,12
Désirée,12
Didem,12
Dorcas,12
Dorina,12
Dounia,12
Eeva-Inkeri,12
Eevariitta,12
Eevi-Maria,12
Ella-Riina,12
Elli-Ilona,12
Emiliia,12
Enea,12
Enid,12
Enne-Liisa,12
Ennika,12
Enni-Maija,12
Erikka,12
Erjona,12
Erva,12
Eva-Christina,12
Evamaria,12
Evangelia,12
Fahima,12
Fardowso,12
Florentina,12
Fowsia,12
Francine,12
Gerli,12
Gizem,12
Grazyna,12
Gry,12
Gullevi,12
Gunn-Maj,12
Haddy,12
Hadil,12
Hai,12
Haley,12
Hanane,12
Hannariina,12
Hanna-Tuulia,12
Hedy,12
Heidi-Marika,12
Heidi-Marja,12
Heidi-Susanna,12
Heini-Marja,12
Heli-Johanna,12
Helma,12
Heta-Maija,12
Hibaq,12
Hildegard,12
Hillamari,12
Hilla-Mari,12
Hilla-Marja,12
Hillervo,12
Ibadete,12
Iida-Elina,12
Indra,12
Inga-Maarit,12
Ioana,12
Ioanna,12
Iria,12
Isatou,12
Iselin,12
Iza,12
Izabel,12
Izabela,12
Jadeliina,12
Jasemin,12
Jasper,12
Jay,12
Jazmin,12
Jenna-Sofia,12
Jenni-Maija,12
Jenny-Sofia,12
Jerica,12
Jocelyn,12
Joela,12
Johanna-Maria,12
Johanne,12
Jolie,12
Jooa,12
Josette,12
Juan,12
Juliane,12
Julita,12
Ka,12
Kaisamaria,12
Katharine,12
Kati-Maarit,12
Katjaana,12
Kawthar,12
Kaya,12
Kevät,12
Kirsi-Marika,12
Laleh,12
Leanne,12
Leenamari,12
Lembi,12
Lian,12
Lii,12
Linette,12
Ling,12
Lita,12
Livian,12
Loreta,12
Lottaliina,12
Lotta-Liina,12
Lotta-Riina,12
Ludmilla,12
Lul,12
Ma,12
Maika,12
Maja-Lisa,12
Mali,12
Maliina,12
Mandana,12
Maral,12
Margareth,12
Maria-Teresa,12
Marie-Helene,12
Marike,12
Mari-Sanna,12
Mari-Sisko,12
Marisol,12
Marjo-Riina,12
Márta,12
Maru,12
Marus,12
Matlena,12
Mawada,12
Mélanie,12
Merima,12
Merja-Helena,12
Merja-Terttu,12
Mette-Maaria,12
Mia-Maija,12
Mielikki,12
Millamaria,12
Mine,12
Minela,12
Miretta,12
Mirha,12
Mirjana,12
Morgan,12
Nahida,12
Nayla,12
Nazia,12
Nea-Mari,12
Nella-Noora,12
Nene,12
Neonilla,12
Nerissa,12
Niina-Kaisa,12
Niitty,12
Nikol,12
Outi-Mari,12
Outi-Marja,12
Pami,12
Patrizia,12
Paula-Maija,12
Pella,12
Petrina,12
Pia-Marie,12
Piia-Maarit,12
Piia-Riikka,12
Pirjo-Hannele,12
Prisca,12
Prisilla,12
Reena,12
Rihaam,12
Riija,12
Ritu,12
Romy,12
Rose-Mari,12
Rusul,12
Saana-Tuulia,12
Saara-Elina,12
Sabriin,12
Sadiyo,12
Salla-Marja,12
Samah,12
Sane,12
Sanita,12
Sanna-Pauliina,12
Sanna-Reetta,12
Sanya,12
Sara-Tuulia,12
Sari-Hannele,12
Sariina,12
Sari-Maija,12
Seinab,12
Selinda,12
Sepideh,12
Shakila,12
Shannon,12
Shaymaa,12
Shira,12
Shugri,12
Sia,12
Sig-Britt,12
Silja-Riitta,12
Sinaida,12
Sinea,12
Sini-Päivikki,12
Sisko-Maria,12
Sola,12
Somaya,12
Sora,12
Souad,12
Stanislava,12
Steffi,12
Sumaiya,12
Summer,12
Susie,12
Susu,12
Suvi-Kukka,12
Sylwia,12
Tabita,12
Taika-Tuulia,12
Taru-Maria,12
Terri,12
Tesla,12
Tiia-Leena,12
Tiia-Riitta,12
Tiia-Sofia,12
Timea,12
Towe,12
Tyti,12
Ulla-Kristina,12
Ulpukka,12
Valbona,12
Valbone,12
Valla,12
Vanilja,12
Vineta,12
Vira,12
Virpa,12
Wafaa,12
Willow,12
Yasmeen,12
Yi,12
Zarina,12
Zoë,12
Zuzanna,12
Abdelkarim,11
Abdihamid,11
Abdikani,11
Abdiwahab,11
Abdiweli,11
Abdoulaye,11
Admir,11
Adriel,11
Aiham,11
Amro,11
Angus,11
Anthonio,11
Antti-Matias,11
Apollo,11
Arjun,11
Armaan,11
Arri,11
Arslan,11
Ashish,11
Ashton,11
Assar,11
Astrit,11
Atos,11
Augusti,11
Augustine,11
Ayaz,11
Aymen,11
Azhar,11
Behnam,11
Belal,11
Bengt-Olof,11
Bennet,11
Berk,11
Bjørn,11
Bojan,11
Cecil,11
Claude,11
Cyrus,11
Dai,11
Dardan,11
Daris,11
Dariush,11
Davood,11
Davy,11
Devran,11
Dior,11
Driton,11
Eelia,11
Eh,11
Ekrem,11
Elisei,11
Emeka,11
Emmet,11
Erasmus,11
Erdem,11
Erdi,11
Erhan,11
Erki,11
Esa-Petri,11
Ewald,11
Fares,11
Fathi,11
Feelix,11
Fisnik,11
Flynn,11
Friedrich,11
Ghaith,11
Gian,11
Gianluca,11
Gordon,11
Grim,11
Halid,11
Hamish,11
Hao,11
Harvey,11
Hesham,11
Horst,11
Ike,11
Ila,11
Ile,11
Iyad,11
Jaakko-Matti,11
Jamshid,11
Jan-Martin,11
Janno,11
János,11
Jan-Roger,11
Jari-Mikko,11
Jari-Veikko,11
Jarkko-Juhani,11
Javad,11
Jian,11
Jon-Erik,11
Joni-Kristian,11
Joonathan,11
Joopi,11
Jori-Matti,11
Jori-Petteri,11
Jouni-Matti,11
Juha-Erkki,11
Juha-Veli,11
Juho-Erik,11
Juhomatti,11
Jussi-Joonas,11
Jyri-Petri,11
Kai-Juhani,11
Kai-Petri,11
Kaj-Henrik,11
Kambiz,11
Karan,11
Karar,11
Kardo,11
Karri-Pekka,11
Kim-Henrik,11
Kim-Johan,11
Kofi,11
Krzysztof,11
Leo-Matti,11
Lian,11
Liekki,11
Lloyd,11
Loimu,11
Lotfi,11
Lucius,11
Marcelo,11
Marcin,11
Marko-Petteri,11
Master,11
Maurice,11
Mazin,11
Melik,11
Mies,11
Mika-Erik,11
Min,11
Miro-Petteri,11
Moise,11
Mouhamed,11
Mounir,11
Muamer,11
Muhanad,11
Mujtaba,11
Naatan,11
Nadeem,11
Nana,11
Nassim,11
Nedim,11
Nedzad,11
Nhu,11
Nuuk,11
Olli-Antti,11
Onni-Ilmari,11
Oscari,11
Oswald,11
Ozan,11
Parviz,11
Pascal,11
Pedram,11
Pelle,11
Per-Göran,11
Phuc,11
Pjotr,11
Puro,11
Qasim,11
Raid,11
Rasim,11
Rayen,11
Recep,11
Reemus,11
Rémi,11
Renas,11
Rey,11
Ridvan,11
Ridwaan,11
Riho,11
Rikumatti,11
Riley,11
Roope-Oskari,11
Rui,11
Rupert,11
Rymy,11
Saber,11
Sahil,11
Saikou,11
Sakarie,11
Sami-Kristian,11
San,11
Sardar,11
Sarmad,11
Semmi,11
Seve,11
Shadi,11
Shahid,11
Shwan,11
Sidar,11
Sindre,11
Skender,11
Sten-Olof,11
Storm,11
Suheib,11
Suman,11
Sunday,11
Sunil,11
Suraj,11
Taave,11
Taulant,11
Tedi,11
Teri,11
Thord,11
Thorvald,11
Tian,11
Tijan,11
Timo-Heikki,11
Toive,11
Vadym,11
Valdo,11
Vasileios,11
Veeni,11
Veli-Erkki,11
Veli-Jaakko,11
Veniamin,11
Verni,11
Vesa-Antti,11
Vexi,11
Ville-Mikael,11
Villepekka,11
Ville-Tapani,11
Ville-Veli,11
Visa-Matti,11
Visar,11
Widar,11
Will,11
Wojciech,11
Yavuz,11
Yazid,11
Yigit,11
Ykä,11
Youness,11
Zafer,11
Zeid,11
Zsolt,11
Zubeyr,11
Zuhair,11
Aami,11
Aarna,11
Aasiya,11
Adi,11
Afsaneh,11
Ailiina,11
Aino-Riitta,11
Aissa,11
Alja,11
Almaz,11
Aminah,11
Amirah,11
Aniso,11
Anna-Juulia,11
Anna-Marika,11
Anne-Katariina,11
Anne-Marit,11
Annemo,11
Ann-Jeanette,11
Ann-Katrine,11
Annu-Maria,11
Anu-Johanna,11
Anu-Liina,11
Anumari,11
Anu-Marja,11
Anuriikka,11
Arezo,11
Artemis,11
Aryana,11
Asmin,11
Auvo,11
Avan,11
Axa,11
Ayana,11
Barbi,11
Beatrix,11
Belle,11
Besa,11
Bia,11
Bigga,11
Biritta,11
Bridget,11
Caisha,11
Caren,11
Cécile,11
Christabel,11
Cina,11
Corina,11
Dalal,11
Daphne,11
Deka,11
Della,11
Delvin,11
Deqa,11
Dorthe,11
Duaa,11
Ekaterini,11
Elisia,11
Elizabet,11
Ella-Olivia,11
Elmedina,11
Elva,11
Emma-Noora,11
Emma-Roosa,11
Enny,11
Eppu,11
Éva,11
Eva-Leena,11
Evelyne,11
Farideh,11
Fatme,11
Fatoumata,11
Fei,11
Fenja,11
Fianna,11
Floora,11
Franciska,11
Francoise,11
Ghazal,11
Giada,11
Gull-Britt,11
Gwen,11
Haidi,11
Hajer,11
Hanna-Laura,11
Hanna-Stiina,11
Hasna,11
Hawraa,11
Heidy,11
Hélène,11
Heta-Liisa,11
Hibaaq,11
Hidajete,11
Hillamaria,11
Hilpe,11
Ida-Amanda,11
Ida-Julia,11
Ieva,11
Iina-Kaisa,11
Ina-Maria,11
Inaya,11
Indigo,11
Inga-Lisa,11
Ing-Mari,11
Inka-Maaria,11
Intisar,11
Isolde,11
Istar,11
Jaada,11
Jadette,11
Jannah,11
Jasminka,11
Jenilla,11
Jennamiia,11
Jenni-Liisa,11
Jenni-Maaria,11
Jin,11
Judi,11
Julienna,11
Jumana,11
Justyna,11
Jwan,11
Kaili,11
Kaisla-Maria,11
Kaitlin,11
Kanjana,11
Kariina,11
Kasandra,11
Katarine,11
Kathrin,11
Katrianna,11
Kida,11
Kirsi-Liisa,11
Kosovare,11
Krenare,11
Krystyna,11
Ksenja,11
Lakshmi,11
Lala,11
Lalla,11
Leonita,11
Liah,11
Liin,11
Liisamari,11
Lippe,11
Lis,11
Lona,11
Loubna,11
Mahtab,11
Maiju-Liina,11
Maiza,11
Margitha,11
Maribel,11
Marileena,11
Mariliisa,11
Marja-Sinikka,11
Marjo-Hannele,11
Mayar,11
Melani,11
Melania,11
Meli,11
Merihelmi,11
Meri-Kukka,11
Meta,11
Miia-Leena,11
Miimi,11
Mila-Maria,11
Milina,11
Milla-Riikka,11
Mille,11
Minna-Johanna,11
Minnaleena,11
Minnamaija,11
Minni-Maria,11
Minya,11
Miri,11
Mirja-Kaarina,11
Mirlinda,11
Moona-Maria,11
Morsal,11
Nagham,11
Nahla,11
Naile,11
Najwa,11
Neha,11
Neli,11
Nelmi,11
Nenja,11
Nermina,11
Nguyet,11
Nicita,11
Niko,11
Nikola,11
Nikoletta,11
Nina-Johanna,11
Nina-Marie,11
Noémi,11
Nóra,11
Outi-Katariina,11
Outi-Maaria,11
Paula-Riitta,11
Peeta,11
Pia-Christina,11
Piretta,11
Pirje,11
Pirjoriitta,11
Pirkka,11
Pirve,11
Pricella,11
Päivi-Riitta,11
Raakkel,11
Rahil,11
Reelika,11
Rena,11
Riikka-Maaria,11
Riikka-Susanna,11
Riona,11
Rita-Maria,11
Rosa-Liina,11
Rosa-Linda,11
Rosetta,11
Ruta,11
Saga-Maria,11
Saija-Riitta,11
Saja,11
Samara,11
Samina,11
Samiya,11
Sandra-Sofia,11
Sari-Sisko,11
Satu-Kristiina,11
Satu-Marika,11
Seeli,11
Senni-Sofia,11
Shadi,11
Sham,11
Shan,11
Shari,11
Sharifa,11
Shkurte,11
Shweta,11
Sini-Marika,11
Sini-Meri,11
Sirli,11
Sisko-Helena,11
Sitra,11
Sofia-Maria,11
Sol,11
Su,11
Suhaila,11
Sultan,11
Suvi-Pauliina,11
Suvi-Pilvi,11
Suweyda,11
Tahira,11
Tala,11
Tarja-Anneli,11
Tarja-Sisko,11
Terhi-Liisa,11
Thalia,11
Thora,11
Tida,11
Tiia-Maaria,11
Tiira,11
Timna,11
Tony,11
Tordis,11
Torhild,11
Tuija-Maija,11
Tuula-Marjatta,11
Tuuli-Anna,11
Umayma,11
Valentyna,11
Vendi,11
Vian,11
Wanessa,11
Wendela,11
Wiktoria,11
Xin,11
Yasna,11
Yuki,11
Zoia,11
Åse,11
Aadi,10
Aapo-Matti,10
Abdelghani,10
Abdelhamid,10
Abdelrahman,10
Abdisalan,10
Aditya,10
Adonis,10
Áilu,10
Ajdin,10
Allen,10
Alpha,10
Amiel,10
Amor,10
An,10
Anmar,10
Antti-Olli,10
Aref,10
Ari-Juha,10
Armi,10
Arte,10
Arttu-Eemeli,10
Arttu-Oskari,10
Asse,10
Asto,10
Atik,10
Atte-Oskari,10
Auri,10
Bao,10
Batu,10
Bile,10
Buster,10
Cemil,10
Chia,10
Christo,10
Collins,10
Cyril,10
Danyal,10
Deepak,10
Dejan,10
Didier,10
Dimitris,10
Dirk,10
Dogan,10
Domenico,10
Duncan,10
Eeben,10
Eemos,10
Eero-Veikko,10
Efosa,10
Eldin,10
Elmedin,10
Elmi,10
Elmin,10
Eloi,10
Emmanuil,10
Erko,10
Erling,10
Esam,10
Esamatti,10
Etienne,10
Eyman,10
Fahri,10
Fardin,10
Fenix,10
Fiilus,10
Flamur,10
Florim,10
Fridolf,10
Giacomo,10
Gil,10
Giulio,10
Gonzalo,10
Guennadi,10
Hamidullah,10
Hans-Christian,10
Hans-Henrik,10
Harley,10
Harro,10
Heikki-Jussi,10
Hemminki,10
Henri-Matias,10
Hunar,10
Huner,10
Idan,10
Iker,10
Ilai,10
Ilian,10
Ilija,10
Jaber,10
Jael,10
Jan-Emil,10
Jan-Gustav,10
Jan-Håkan,10
Jani-Jukka,10
Jani-Kristian,10
Jari-Juha,10
Jarimatti,10
Jaroel,10
Jasmo,10
Jehki,10
Jerzy,10
Jesaja,10
Jesse-Juhani,10
Jihad,10
Johan-Erik,10
John-Eric,10
Jolle,10
Jones,10
Jonne-Pekka,10
Joona-Matias,10
Joy,10
Juha-Mikael,10
Juha-Pertti,10
Juho-Aleksi,10
Junno,10
Jusse,10
Jussi-Tuomas,10
Jussi-Ville,10
Jyrki-Pekka,10
Kabir,10
Kaimo,10
Kais,10
Kaito,10
Kaj-Johan,10
Kalid,10
Kalle-Markus,10
Kamu,10
Koa,10
Kwame,10
Kwok,10
Kössi,10
Labinot,10
Lari-Petteri,10
Lauri-Juhani,10
Layth,10
Lei,10
Leone,10
Leonhard,10
Levente,10
Liridon,10
Luigi,10
Luiz,10
Luna,10
Luqmaan,10
Malakai,10
Malick,10
Manoj,10
Mara,10
Marcell,10
Martino,10
Máté,10
Mateusz,10
Matheus,10
Matti-Tapio,10
Maximiliam,10
Mertzi,10
Mickel,10
Mihai,10
Miika-Matti,10
Miikka-Matias,10
Mika-Tapio,10
Mikko-Jussi,10
Mirwais,10
Mokhtar,10
Mortaza,10
Mose,10
Mubarik,10
Mucaad,10
Muse,10
Nataniel,10
Nero,10
Nickolas,10
Nicolae,10
Niklaus,10
Niko-Markus,10
Niko-Ville,10
Nooke,10
Nuh,10
Okke,10
Oliveri,10
Olov,10
Omran,10
Orlando,10
Otto-Eemeli,10
Pa,10
Pau,10
Peetro,10
Petri-Juhani,10
Petri-Mikael,10
Pär-Erik,10
Quinn,10
Raad,10
Rafi,10
Raikas,10
Rama,10
Rebaz,10
Remzi,10
Renat,10
Reto,10
Rodin,10
Roopert,10
Rron,10
Rustam,10
Ryszard,10
Samatar,10
Samba,10
Samueli,10
Santtu-Pekka,10
Saulus,10
Seán,10
Selahattin,10
Sere,10
Set,10
Shahab,10
Shahzad,10
Sharmake,10
Siavash,10
Simo-Heikki,10
Soren,10
Stian,10
Sulayman,10
Taner,10
Tapsa,10
Tero-Tapio,10
Tex,10
Tomi-Matti,10
Tommi-Pekka,10
Tomppa,10
Topi-Pekka,10
Tudor,10
Tung,10
Turjo,10
Tyr,10
Ukkopekka,10
Umberto,10
Vallu,10
Veli-Tuomas,10
Vesa-Mikko,10
Vesa-Valtteri,10
Vikko,10
Vilbert,10
Vilkko,10
Ville-Martti,10
Vilmo,10
Vinsent,10
Wali,10
Warren,10
Wellu,10
Wen,10
Yassir,10
Ylli,10
Yrjänä,10
Zeki,10
Örjan,10
Aarni,10
Aaya,10
Abir,10
Abraar,10
Abrar,10
Ade,10
Adrienne,10
Agnia,10
Aila-Maija,10
Áile,10
Aino-Helena,10
Aino-Liina,10
Aino-Lotta,10
Aino-Maaria,10
Aira-Liisa,10
Aiza,10
Alfia,10
Alita,10
Almiina,10
Amélia,10
Ameliina,10
Ameneh,10
Anabel,10
Aneta,10
Anna-Kreeta,10
Anna-Matilda,10
Anna-Miia,10
Anna-Roosa,10
Ann-Caroline,10
Ann-Cathrin,10
Anne-Birgitta,10
Annelise,10
Annileena,10
Anni-Liisa,10
Anni-Riina,10
Anni-Riitta,10
Ann-Maarit,10
Anny,10
Anu-Riitta,10
Apila,10
Arbenita,10
Arezoo,10
Ariadna,10
Ariane,10
Arianne,10
Arja-Helena,10
Arja-Terttu,10
Asja,10
Asteri,10
Aurea,10
Avalon,10
Bahareh,10
Batool,10
Bette,10
Betül,10
Bilan,10
Bintou,10
Cam,10
Cariina,10
Carmel,10
Carole,10
Catherina,10
Cathrin,10
Catja,10
Celestine,10
Chioma,10
Chira,10
Cristal,10
Crystal,10
Dakota,10
Danuta,10
Diem,10
Diya,10
Eina,10
Elbe,10
Eleonore,10
Eliane,10
Eliida,10
Elis,10
Ella-Emilia,10
Ella-Riikka,10
Elli-Lotta,10
Ellu,10
Elora,10
Elvin,10
Elwa,10
Emma-Karoliina,10
Ennie,10
Evilda,10
Ewelina,10
Farahnaz,10
Fatemah,10
Fateme,10
Fria,10
Frida-Maria,10
Gul,10
Gunn-Lis,10
Habiibo,10
Haije,10
Hanadi,10
Haneen,10
Hanieh,10
Hanife,10
Hanna-Elisa,10
Hanna-Katriina,10
Haya,10
Hazal,10
Hebe,10
Heile,10
Heine,10
Hekla,10
Heli-Sisko,10
Henja,10
Henrita,10
Hildi,10
Houda,10
Husna,10
Huynh,10
Ida-Annika,10
Ilaf,10
Ilda,10
Imaan,10
Inaaya,10
Iqlaas,10
Iva,10
Ivi,10
Jaael,10
Jenna-Emilia,10
Jerita,10
Jette,10
Jolana,10
Jonna-Kaisa,10
Josephina,10
Jutta-Mari,10
Juuli-Maria,10
Jytte,10
Kaija-Helena,10
Kaija-Maija,10
Kaija-Sisko,10
Kaisa-Reeta,10
Kami,10
Kanokwan,10
Kaste-Helmi,10
Kati-Mari,10
Keesia,10
Keth,10
Khanh,10
Kirsi-Hannele,10
Kirsi-Marie,10
Kirsi-Marjaana,10
Kirsti-Kaarina,10
Kiuru,10
Klarissa,10
Konstantina,10
Kreta,10
Kristy,10
Kylie,10
Lanya,10
Laure,10
Laxmi,10
Liridona,10
Liva,10
Ljudmilla,10
Lotta-Leena,10
Lotti,10
Lou,10
Louhi,10
Lourdes,10
Lucía,10
Luise,10
Lukas,10
Lumiella,10
Lumilla,10
Lycke,10
Lyudmyla,10
Maarita,10
Majlinda,10
Manti,10
Margitta,10
Maria-Kristiina,10
Mariska,10
Marja-Riikka,10
Marjo-Reetta,10
Martine,10
Matja,10
Merianna,10
Meriel,10
Meriitta,10
Merikukka,10
Merili,10
Merli,10
Mette-Maarit,10
Mia-Riikka,10
Milja-Emilia,10
Milja-Maaria,10
Milla-Roosa,10
Min,10
Minelle,10
Minou,10
Mirabel,10
Mireka,10
Mirina,10
Mirke,10
Miryam,10
Misella,10
Moe,10
Mojgan,10
Molli,10
Monja,10
Naemi,10
Nanda,10
Negar,10
Nehir,10
Nessi,10
Netta-Maria,10
Nica,10
Nicoleta,10
Nigar,10
Niina-Maija,10
Nima,10
Nina-Marika,10
Nini,10
Noe,10
Noela,10
Noga,10
Nuran,10
Oleksandra,10
Onja,10
Otava,10
Outi-Leena,10
Paige,10
Paris,10
Parvaneh,10
Pearl,10
Pelagia,10
Petja,10
Pham,10
Pia-Carita,10
Pia-Helena,10
Piia-Johanna,10
Pioni,10
Piri,10
Pirkko-Helena,10
Pirkko-Riitta,10
Pouta,10
Pranee,10
Radha,10
Raija-Sisko,10
Raika,10
Ranim,10
Reija-Leena,10
Reija-Riitta,10
Reita,10
Renáta,10
Riikka-Elina,10
Riikka-Sisko,10
Riina-Lotta,10
Rista,10
Ritva-Maija,10
Rosalin,10
Rose-May,10
Rosette,10
Rosmarie,10
Rozan,10
Rubina,10
Ruwayda,10
Saadia,10
Saana-Sofia,10
Saarah,10
Sacdiyo,10
Sadiya,10
Sahara,10
Saia,10
Saila-Maria,10
Sakineh,10
Sallamaarit,10
Sanna-Kaija,10
Sannaliisa,10
Sanny,10
Sara-Tuuli,10
Sari-Minna,10
Sarla,10
Satu-Leena,10
Satu-Marjaana,10
Say,10
Seere,10
Selen,10
Selvete,10
Sema,10
Seni,10
Senita,10
Sennu,10
Serafiia,10
Sessa,10
Shaimaa,10
Sheida,10
Shila,10
Shiri,10
Sine,10
